message_id,sent_time_ns,receive_time_ns,latency_ms
0,1778959308482035102,1778959308482331870,0.296768
1,1778959308492015611,1778959308495869413,3.853802
2,1778959308502014275,1778959308502141498,0.127223
3,1778959308512037205,1778959308512211499,0.174294
4,1778959308522004859,1778959308522125020,0.120161
5,1778959308532017831,1778959308532160164,0.142333
6,1778959308542030982,1778959308542165079,0.134097
7,1778959308552008656,1778959308552124739,0.116083
8,1778959308562011298,1778959308562134173,0.122875
9,1778959308572023197,1778959308572181630,0.158433
10,1778959308582008405,1778959308582154004,0.145599
11,1778959308592009183,1778959308592137629,0.128446
12,1778959308602013738,1778959308602206878,0.19314
13,1778959308612007653,1778959308612132161,0.124508
14,1778959308622003341,1778959308622135544,0.132203
15,1778959308632019689,1778959308632195135,0.175446
16,1778959308642015918,1778959308642139535,0.123617
17,1778959308652019601,1778959308652138720,0.119119
18,1778959308662018335,1778959308662167231,0.148896
19,1778959308672001259,1778959308672136178,0.134919
20,1778959308682070448,1778959308682253128,0.18268
21,1778959308692025398,1778959308692147783,0.122385
22,1778959308702018401,1778959308702148150,0.129749
23,1778959308712004311,1778959308712142596,0.138285
24,1778959308722016641,1778959308722163442,0.146801
25,1778959308732016908,1778959308732156455,0.139547
26,1778959308742050699,1778959308742192741,0.142042
27,1778959308752008665,1778959308752129025,0.12036
28,1778959308762012298,1778959308762152417,0.140119
29,1778959308772013116,1778959308772142223,0.129107
30,1778959308782006530,1778959308782141979,0.135449
31,1778959308792000234,1778959308792116327,0.116093
32,1778959308802014238,1778959308802139558,0.12532
33,1778959308812007381,1778959308812144674,0.137293
34,1778959308822010634,1778959308822156733,0.146099
35,1778959308832004789,1778959308832128506,0.123717
36,1778959308842014704,1778959308842139473,0.124769
37,1778959308852023908,1778959308852143688,0.11978
38,1778959308862009397,1778959308862126461,0.117064
39,1778959308872001899,1778959308872117641,0.115742
40,1778959308882012576,1778959308882148607,0.136031
41,1778959308892012222,1778959308892150967,0.138745
42,1778959308902009373,1778959308902130435,0.121062
43,1778959308912011874,1778959308912153956,0.142082
44,1778959308922003625,1778959308922125047,0.121422
45,1778959308932010805,1778959308932132528,0.121723
46,1778959308942012324,1778959308942161901,0.149577
47,1778959308952000768,1778959308952120137,0.119369
48,1778959308962009171,1778959308962142025,0.132854
49,1778959308972021491,1778959308972161599,0.140108
50,1778959308982009575,1778959308982128883,0.119308
51,1778959308992018989,1778959308992156082,0.137093
52,1778959309002039204,1778959309002233547,0.194343
53,1778959309012009334,1778959309012136497,0.127163
54,1778959309022019069,1778959309022161412,0.142343
55,1778959309032021851,1778959309032158292,0.136441
56,1778959309042016788,1778959309042155513,0.138725
57,1778959309052003709,1778959309052126414,0.122705
