message_id,sent_time_ns,receive_time_ns,latency_ms
0,1778958924851658008,1778958924851930208,0.2722
1,1778958924861650452,1778958924866398500,4.748048
2,1778958924871654248,1778958924871792121,0.137873
3,1778958924881654276,1778958924881815334,0.161058
4,1778958924891681677,1778958924891830191,0.148514
5,1778958924901648482,1778958924901777940,0.129458
6,1778958924911666766,1778958924911785222,0.118456
7,1778958924921656365,1778958924921799187,0.142822
8,1778958924931675941,1778958924931820747,0.144806
9,1778958924941690126,1778958924941815806,0.12568
10,1778958924951653385,1778958924951844289,0.190904
11,1778958924961653654,1778958924961782981,0.129327
12,1778958924971662489,1778958924971816323,0.153834
13,1778958924981657558,1778958924981795361,0.137803
14,1778958924991660813,1778958924991798626,0.137813
15,1778958925001655451,1778958925001835625,0.180174
16,1778958925011654138,1778958925011797792,0.143654
17,1778958925021641953,1778958925021779095,0.137142
18,1778958925031641311,1778958925031774705,0.133394
19,1778958925041693880,1778958925041824549,0.130669
20,1778958925051644895,1778958925051761237,0.116342
21,1778958925061652138,1778958925061778529,0.126391
22,1778958925071674078,1778958925071810068,0.13599
23,1778958925081655221,1778958925081795499,0.140278
24,1778958925091645842,1778958925091762064,0.116222
25,1778958925101658014,1778958925101787902,0.129888
26,1778958925111650980,1778958925111779475,0.128495
27,1778958925121646089,1778958925121798540,0.152451
28,1778958925131658261,1778958925131828797,0.170536
29,1778958925141644494,1778958925141787918,0.143424
30,1778958925151658269,1778958925151828544,0.170275
31,1778958925161644161,1778958925161790360,0.146199
32,1778958925171691730,1778958925171843680,0.15195
33,1778958925181654758,1778958925181797501,0.142743
34,1778958925191643426,1778958925191781389,0.137963
35,1778958925201682449,1778958925201832044,0.149595
36,1778958925211654284,1778958925211778371,0.124087
37,1778958925221653681,1778958925221791164,0.137483
38,1778958925231686573,1778958925231814277,0.127704
39,1778958925241653689,1778958925241796211,0.142522
40,1778958925251644651,1778958925251773567,0.128916
41,1778958925261645932,1778958925261770740,0.124808
42,1778958925271648005,1778958925271774166,0.126161
43,1778958925281670396,1778958925281812217,0.141821
44,1778958925291657560,1778958925291790885,0.133325
45,1778958925301641629,1778958925301780334,0.138705
46,1778958925311672136,1778958925311816912,0.144776
47,1778958925321645925,1778958925321767106,0.121181
48,1778958925331653698,1778958925331795980,0.142282
49,1778958925341644560,1778958925341770530,0.12597
50,1778958925351651692,1778958925351795948,0.144256
51,1778958925361655408,1778958925361785496,0.130088
52,1778958925371660246,1778958925371791296,0.13105
53,1778958925381652590,1778958925381778120,0.12553
54,1778958925391654112,1778958925391792045,0.137933
55,1778958925401646656,1778958925401774440,0.127784
56,1778958925411655462,1778958925411792604,0.137142
57,1778958925421664228,1778958925421801640,0.137412
58,1778958925431652103,1778958925431780108,0.128005
59,1778958925441640730,1778958925441779525,0.138795
60,1778958925451657381,1778958925451789934,0.132553
61,1778958925461646779,1778958925461764795,0.118016
62,1778958925471652429,1778958925471787587,0.135158
63,1778958925481640916,1778958925481779971,0.139055
64,1778958925491644722,1778958925491774400,0.129678
65,1778958925501644671,1778958925501774909,0.130238
66,1778958925511640521,1778958925511780058,0.139537
67,1778958925521652653,1778958925521779616,0.126963
68,1778958925531652572,1778958925531799002,0.14643
69,1778958925541640708,1778958925541797187,0.156479
70,1778958925551658050,1778958925551780544,0.122494
71,1778958925561687144,1778958925561827222,0.140078
72,1778958925571650093,1778958925571824255,0.174162
73,1778958925581655852,1778958925581792002,0.13615
74,1778958925591652655,1778958925591794546,0.141891
75,1778958925601647875,1778958925601823570,0.175695
76,1778958925611646481,1778958925611783663,0.137182
77,1778958925621646850,1778958925621782429,0.135579
78,1778958925631650015,1778958925631817054,0.167039
79,1778958925641648040,1778958925641784110,0.13607
80,1778958925651650774,1778958925651778779,0.128005
81,1778958925661641976,1778958925661763999,0.122023
82,1778958925671649449,1778958925671788495,0.139046
83,1778958925681650550,1778958925681789836,0.139286
84,1778958925691650679,1778958925691787651,0.136972
85,1778958925701649255,1778958925701787359,0.138104
86,1778958925711646339,1778958925711773020,0.126681
87,1778958925721649373,1778958925721775955,0.126582
88,1778958925731647518,1778958925731771445,0.123927
89,1778958925741640934,1778958925741779910,0.138976
90,1778958925751647997,1778958925751786632,0.138635
91,1778958925761647334,1778958925761787752,0.140418
92,1778958925771640761,1778958925771771120,0.130359
93,1778958925781646811,1778958925781781168,0.134357
94,1778958925791654164,1778958925791782910,0.128746
95,1778958925801643111,1778958925801773701,0.13059
96,1778958925811648811,1778958925811783739,0.134928
97,1778958925821650212,1778958925821786002,0.13579
98,1778958925831647456,1778958925831803103,0.155647
99,1778958925841645040,1778958925841783675,0.138635
100,1778958925851671449,1778958925851817659,0.14621
101,1778958925861642303,1778958925861779154,0.136851
102,1778958925871642782,1778958925871779393,0.136611
103,1778958925881669592,1778958925881816222,0.14663
104,1778958925891650214,1778958925891776826,0.126612
105,1778958925901666945,1778958925901811501,0.144556
106,1778958925911660040,1778958925911807071,0.147031
107,1778958925921655360,1778958925921795228,0.139868
108,1778958925931654678,1778958925931780378,0.1257
109,1778958925941678442,1778958925941818890,0.140448
110,1778958925951658413,1778958925951796787,0.138374
111,1778958925961672588,1778958925961807356,0.134768
112,1778958925971646097,1778958925971776466,0.130369
113,1778958925981654832,1778958925981790772,0.13594
114,1778958925991648228,1778958925991771544,0.123316
115,1778958926001645151,1778958926001778195,0.133044
116,1778958926011654268,1778958926011783525,0.129257
117,1778958926021658124,1778958926021819312,0.161188
118,1778958926031659295,1778958926031811736,0.152441
119,1778958926041655697,1778958926041779384,0.123687
120,1778958926051652430,1778958926051785995,0.133565
121,1778958926061646468,1778958926061799981,0.153513
122,1778958926071647359,1778958926071799008,0.151649
123,1778958926081650013,1778958926081809327,0.159314
124,1778958926091653829,1778958926091803635,0.149806
125,1778958926101646504,1778958926101775340,0.128836
126,1778958926111655169,1778958926111783064,0.127895
127,1778958926121639919,1778958926121772022,0.132103
128,1778958926131666699,1778958926131802840,0.136141
129,1778958926141644937,1778958926141795475,0.150538
130,1778958926151654114,1778958926151794532,0.140418
131,1778958926161647630,1778958926161777358,0.129728
132,1778958926171644002,1778958926171777678,0.133676
133,1778958926181640274,1778958926181759191,0.118917
134,1778958926191643279,1778958926191778427,0.135148
135,1778958926201658667,1778958926201789066,0.130399
136,1778958926211654288,1778958926211792843,0.138555
137,1778958926221650199,1778958926221789064,0.138865
138,1778958926231650950,1778958926231776399,0.125449
139,1778958926241641330,1778958926241768633,0.127303
140,1778958926251649575,1778958926251784793,0.135218
141,1778958926261647240,1778958926261785173,0.137933
142,1778958926271644373,1778958926271783669,0.139296
143,1778958926281649963,1778958926281775773,0.12581
144,1778958926291645012,1778958926291786643,0.141631
145,1778958926301642757,1778958926301766032,0.123275
146,1778958926311653577,1778958926311776081,0.122504
