message_id,sent_time_ns,receive_time_ns,latency_ms
0,1779184361872647979,1779184361872887795,0.239816
1,1779184361882633433,1779184361886285273,3.65184
2,1779184361892626112,1779184361892733230,0.107118
3,1779184361902635964,1779184361902775685,0.139721
4,1779184361912635986,1779184361912786639,0.150653
5,1779184361922639075,1779184361922791742,0.152667
6,1779184361932643717,1779184361932775012,0.131295
7,1779184361942630013,1779184361942744265,0.114252
8,1779184361952629585,1779184361952745781,0.116196
9,1779184361962635549,1779184361962773758,0.138209
10,1779184361972631985,1779184361972744083,0.112098
11,1779184361982627910,1779184361982756159,0.128249
12,1779184361992634135,1779184361992768516,0.134381
13,1779184362002632304,1779184362002769992,0.137688
14,1779184362012622568,1779184362012742732,0.120164
15,1779184362022631399,1779184362022769758,0.138359
16,1779184362032625841,1779184362032752478,0.126637
17,1779184362042620334,1779184362042734797,0.114463
18,1779184362052621269,1779184362052741102,0.119833
19,1779184362062629589,1779184362062751025,0.121436
20,1779184362072631816,1779184362072750247,0.118431
21,1779184362082646238,1779184362082767063,0.120825
22,1779184362092626032,1779184362092760513,0.134481
23,1779184362102633981,1779184362102766999,0.133018
24,1779184362112630046,1779184362112777854,0.147808
25,1779184362122624960,1779184362122743741,0.118781
26,1779184362132623981,1779184362132738243,0.114262
27,1779184362142629125,1779184362142758646,0.129521
28,1779184362152623717,1779184362152728591,0.104874
29,1779184362162632668,1779184362162784924,0.152256
30,1779184362172632411,1779184362172773485,0.141074
31,1779184362182631673,1779184362182765974,0.134301
32,1779184362192628700,1779184362192743584,0.114884
33,1779184362202623764,1779184362202745601,0.121837
34,1779184362212625471,1779184362212745244,0.119773
35,1779184362222634822,1779184362222771809,0.136987
36,1779184362232630758,1779184362232758566,0.127808
37,1779184362242637544,1779184362242756916,0.119372
38,1779184362252644341,1779184362252764214,0.119873
39,1779184362262637932,1779184362262778295,0.140363
40,1779184362272626122,1779184362272756446,0.130324
41,1779184362282628871,1779184362282762250,0.133379
42,1779184362292616871,1779184362292727225,0.110354
43,1779184362302627354,1779184362302763209,0.135855
44,1779184362312621978,1779184362312752331,0.130353
45,1779184362322621710,1779184362322749439,0.127729
46,1779184362332626613,1779184362332755534,0.128921
47,1779184362342627939,1779184362342760958,0.133019
48,1779184362352626009,1779184362352744970,0.118961
49,1779184362362629900,1779184362362763710,0.13381
50,1779184362372636115,1779184362372761809,0.125694
51,1779184362382633473,1779184362382769417,0.135944
52,1779184362392628677,1779184362392763820,0.135143
53,1779184362402625925,1779184362402752581,0.126656
54,1779184362412623063,1779184362412749359,0.126296
55,1779184362422631062,1779184362422767147,0.136085
56,1779184362432627238,1779184362432761780,0.134542
57,1779184362442622051,1779184362442749219,0.127168
58,1779184362452621554,1779184362452749152,0.127598
59,1779184362462631837,1779184362462758583,0.126746
60,1779184362472622352,1779184362472750411,0.128059
61,1779184362482621323,1779184362482732810,0.111487
62,1779184362492622338,1779184362492747131,0.124793
63,1779184362502630447,1779184362502758677,0.12823
64,1779184362512622575,1779184362512740134,0.117559
65,1779184362522626647,1779184362522748343,0.121696
66,1779184362532630217,1779184362532762815,0.132598
67,1779184362542628367,1779184362542748841,0.120474
68,1779184362552628029,1779184362552745908,0.117879
69,1779184362562627221,1779184362562737375,0.110154
70,1779184362572626854,1779184362572736998,0.110144
71,1779184362582659300,1779184362582785355,0.126055
72,1779184362592637291,1779184362592777593,0.140302
73,1779184362602626653,1779184362602732219,0.105566
74,1779184362612623811,1779184362612735118,0.111307
75,1779184362622635888,1779184362622762344,0.126456
76,1779184362632623978,1779184362632755734,0.131756
77,1779184362642616186,1779184362642723776,0.10759
78,1779184362652628724,1779184362652752795,0.124071
79,1779184362662630872,1779184362662761947,0.131075
80,1779184362672622308,1779184362672741390,0.119082
81,1779184362682620037,1779184362682728719,0.108682
82,1779184362692619880,1779184362692744222,0.124342
83,1779184362702631025,1779184362702761409,0.130384
84,1779184362712635547,1779184362712771562,0.136015
85,1779184362722627535,1779184362722745605,0.11807
86,1779184362732627739,1779184362732748714,0.120975
87,1779184362742631600,1779184362742757064,0.125464
88,1779184362752622014,1779184362752739823,0.117809
89,1779184362762620274,1779184362762727523,0.107249
90,1779184362772619877,1779184362772735732,0.115855
91,1779184362782662293,1779184362782787556,0.125263
92,1779184362792630845,1779184362792761058,0.130213
93,1779184362802635397,1779184362802754970,0.119573
94,1779184362812628237,1779184362812749072,0.120835
95,1779184362822632288,1779184362822777280,0.144992
96,1779184362832622733,1779184362832751052,0.128319
97,1779184362842623006,1779184362842731908,0.108902
98,1779184362852624092,1779184362852749756,0.125664
99,1779184362862630337,1779184362862759659,0.129322
100,1779184362872624810,1779184362872748470,0.12366
101,1779184362882624663,1779184362882745288,0.120625
102,1779184362892633023,1779184362892783134,0.150111
103,1779184362902631272,1779184362902756035,0.124763
104,1779184362912649602,1779184362912779695,0.130093
105,1779184362922628925,1779184362922748708,0.119783
106,1779184362932627485,1779184362932751526,0.124041
107,1779184362942631506,1779184362942760617,0.129111
108,1779184362952632291,1779184362952761593,0.129302
109,1779184362962627004,1779184362962749543,0.122539
110,1779184362972635574,1779184362972780366,0.144792
111,1779184362982662420,1779184362982796981,0.134561
112,1779184362992628607,1779184362992749382,0.120775
113,1779184363002626537,1779184363002733805,0.107268
114,1779184363012625378,1779184363012739560,0.114182
115,1779184363022633067,1779184363022767378,0.134311
116,1779184363032640125,1779184363032783664,0.143539
117,1779184363042666300,1779184363042800591,0.134291
118,1779184363052655573,1779184363052778472,0.122899
119,1779184363062635778,1779184363062764489,0.128711
120,1779184363072623208,1779184363072755515,0.132307
121,1779184363082627891,1779184363082745329,0.117438
122,1779184363092624969,1779184363092745073,0.120104
123,1779184363102634362,1779184363102765316,0.130954
124,1779184363112628915,1779184363112753988,0.125073
125,1779184363122633167,1779184363122750736,0.117569
126,1779184363132626188,1779184363132754187,0.127999
127,1779184363142629949,1779184363142760312,0.130363
128,1779184363152624402,1779184363152749806,0.125404
129,1779184363162623815,1779184363162747085,0.12327
130,1779184363172623378,1779184363172738933,0.115555
131,1779184363182629434,1779184363182758785,0.129351
132,1779184363192625691,1779184363192758028,0.132337
133,1779184363202633830,1779184363202769043,0.135213
134,1779184363212625668,1779184363212735532,0.109864
135,1779184363222630923,1779184363222769322,0.138399
136,1779184363232637069,1779184363232765278,0.128209
137,1779184363242623647,1779184363242751345,0.127698
138,1779184363252628590,1779184363252754966,0.126376
139,1779184363262657290,1779184363262792793,0.135503
140,1779184363272626965,1779184363272751908,0.124943
141,1779184363282625666,1779184363282737233,0.111567
142,1779184363292624869,1779184363292752747,0.127878
143,1779184363302632257,1779184363302753242,0.120985
144,1779184363312629716,1779184363312763807,0.134091
145,1779184363322625111,1779184363322776215,0.151104
146,1779184363332625436,1779184363332755198,0.129762
147,1779184363342628526,1779184363342762636,0.13411
148,1779184363352632287,1779184363352769764,0.137477
149,1779184363362635146,1779184363362775870,0.140724
150,1779184363372621905,1779184363372752248,0.130343
151,1779184363382634573,1779184363382774776,0.140203
152,1779184363392627263,1779184363392755021,0.127758
153,1779184363402626165,1779184363402742611,0.116446
154,1779184363412626700,1779184363412742735,0.116035
155,1779184363422634349,1779184363422756747,0.122398
156,1779184363432628150,1779184363432745058,0.116908
157,1779184363442625098,1779184363442740473,0.115375
158,1779184363452627347,1779184363452752330,0.124983
159,1779184363462653301,1779184363462813573,0.160272
160,1779184363472628868,1779184363472747669,0.118801
161,1779184363482626177,1779184363482739777,0.1136
162,1779184363492635519,1779184363492770391,0.134872
163,1779184363502630783,1779184363502763522,0.132739
164,1779184363512642540,1779184363512808413,0.165873
165,1779184363522639188,1779184363522802385,0.163197
166,1779184363532626868,1779184363532779434,0.152566
167,1779184363542631601,1779184363542760572,0.128971
168,1779184363552633919,1779184363552767720,0.133801
169,1779184363562626529,1779184363562744699,0.11817
170,1779184363572625491,1779184363572744051,0.11856
171,1779184363582630264,1779184363582744316,0.114052
172,1779184363592624527,1779184363592744951,0.120424
173,1779184363602624912,1779184363602730196,0.105284
174,1779184363612626088,1779184363612748436,0.122348
175,1779184363622633246,1779184363622756355,0.123109
176,1779184363632633400,1779184363632788091,0.154691
177,1779184363642622583,1779184363642737997,0.115414
178,1779184363652623860,1779184363652744665,0.120805
179,1779184363662628984,1779184363662755820,0.126836
180,1779184363672624198,1779184363672753079,0.128881
181,1779184363682621717,1779184363682740628,0.118911
182,1779184363692627433,1779184363692745993,0.11856
183,1779184363702628448,1779184363702748061,0.119613
184,1779184363712630476,1779184363712756221,0.125745
185,1779184363722627384,1779184363722775943,0.148559
186,1779184363732633731,1779184363732798010,0.164279
187,1779184363742632362,1779184363742763717,0.131355
188,1779184363752628629,1779184363752785373,0.156744
189,1779184363762623372,1779184363762740901,0.117529
190,1779184363772630971,1779184363772747227,0.116256
191,1779184363782634813,1779184363782771759,0.136946
192,1779184363792625929,1779184363792752896,0.126967
193,1779184363802623188,1779184363802738642,0.115454
194,1779184363812622591,1779184363812747965,0.125374
195,1779184363822631943,1779184363822764821,0.132878
196,1779184363832621807,1779184363832741049,0.119242
197,1779184363842622082,1779184363842741013,0.118931
198,1779184363852624481,1779184363852740165,0.115684
199,1779184363862629845,1779184363862761882,0.132037
200,1779184363872627023,1779184363872743079,0.116056
201,1779184363882626436,1779184363882739285,0.112849
202,1779184363892624767,1779184363892743357,0.11859
203,1779184363902633458,1779184363902764522,0.131064
204,1779184363912630696,1779184363912750720,0.120024
205,1779184363922628736,1779184363922747868,0.119132
206,1779184363932628480,1779184363932740788,0.112308
207,1779184363942630418,1779184363942757665,0.127247
208,1779184363952625462,1779184363952744834,0.119372
209,1779184363962633642,1779184363962763715,0.130073
210,1779184363972623205,1779184363972733319,0.110114
211,1779184363982628590,1779184363982756208,0.127618
212,1779184363992622031,1779184363992745030,0.122999
213,1779184364002621534,1779184364002737239,0.115705
214,1779184364012625797,1779184364012744297,0.1185
215,1779184364022630631,1779184364022777757,0.147126
216,1779184364032624233,1779184364032751150,0.126917
217,1779184364042623757,1779184364042739482,0.115725
218,1779184364052623020,1779184364052736781,0.113761
219,1779184364062629117,1779184364062760823,0.131706
220,1779184364072631766,1779184364072763052,0.131286
221,1779184364082631661,1779184364082760651,0.12899
222,1779184364092623409,1779184364092761418,0.138009
223,1779184364102627592,1779184364102754128,0.126536
224,1779184364112627937,1779184364112751948,0.124011
225,1779184364122625126,1779184364122754458,0.129332
226,1779184364132623758,1779184364132739764,0.116006
227,1779184364142629133,1779184364142756140,0.127007
228,1779184364152623026,1779184364152735705,0.112679
229,1779184364162620726,1779184364162731531,0.110805
230,1779184364172622183,1779184364172734512,0.112329
231,1779184364182623240,1779184364182749646,0.126406
232,1779184364192622223,1779184364192743118,0.120895
233,1779184364202627748,1779184364202750627,0.122879
234,1779184364212624957,1779184364212729630,0.104673
235,1779184364222632196,1779184364222764924,0.132728
236,1779184364232626239,1779184364232750581,0.124342
237,1779184364242626404,1779184364242742690,0.116286
238,1779184364252624825,1779184364252729599,0.104774
239,1779184364262631813,1779184364262761616,0.129803
240,1779184364272625526,1779184364272757663,0.132137
241,1779184364282634779,1779184364282755874,0.121095
242,1779184364292655794,1779184364292778843,0.123049
243,1779184364302633746,1779184364302748549,0.114803
244,1779184364312628921,1779184364312753363,0.124442
245,1779184364322623535,1779184364322741715,0.11818
246,1779184364332625293,1779184364332726961,0.101668
247,1779184364342631410,1779184364342763086,0.131676
248,1779184364352629851,1779184364352756808,0.126957
249,1779184364362621880,1779184364362753546,0.131666
250,1779184364372625201,1779184364372740405,0.115204
251,1779184364382640566,1779184364382769767,0.129201
252,1779184364392624579,1779184364392744793,0.120214
253,1779184364402626367,1779184364402740930,0.114563
254,1779184364412625450,1779184364412731496,0.106046
255,1779184364422636606,1779184364422771519,0.134913
256,1779184364432630088,1779184364432754991,0.124903
257,1779184364442626155,1779184364442749325,0.12317
258,1779184364452622633,1779184364452723920,0.101287
259,1779184364462631545,1779184364462759944,0.128399
260,1779184364472625207,1779184364472746222,0.121015
261,1779184364482626534,1779184364482747209,0.120675
262,1779184364492624305,1779184364492744629,0.120324
263,1779184364502630872,1779184364502766596,0.135724
264,1779184364512626498,1779184364512739428,0.11293
265,1779184364522636171,1779184364522762126,0.125955
266,1779184364532626968,1779184364532734647,0.107679
267,1779184364542630389,1779184364542743249,0.11286
268,1779184364552632929,1779184364552751970,0.119041
269,1779184364562625940,1779184364562736765,0.110825
270,1779184364572621897,1779184364572753553,0.131656
271,1779184364582629807,1779184364582773766,0.143959
272,1779184364592629721,1779184364592752990,0.123269
273,1779184364602628052,1779184364602744248,0.116196
274,1779184364612622356,1779184364612748611,0.126255
275,1779184364622631518,1779184364622771500,0.139982
276,1779184364632621573,1779184364632736617,0.115044
277,1779184364642625666,1779184364642747353,0.121687
278,1779184364652625089,1779184364652745273,0.120184
279,1779184364662658249,1779184364662788392,0.130143
280,1779184364672634998,1779184364672754771,0.119773
281,1779184364682623731,1779184364682725899,0.102168
282,1779184364692623495,1779184364692759078,0.135583
283,1779184364702627217,1779184364702771928,0.144711
284,1779184364712623554,1779184364712758386,0.134832
285,1779184364722629160,1779184364722752690,0.12353
286,1779184364732625587,1779184364732734930,0.109343
287,1779184364742629529,1779184364742759632,0.130103
288,1779184364752629294,1779184364752756341,0.127047
289,1779184364762625210,1779184364762730575,0.105365
290,1779184364772633531,1779184364772748905,0.115374
291,1779184364782628626,1779184364782753008,0.124382
292,1779184364792634171,1779184364792754545,0.120374
293,1779184364802624718,1779184364802753538,0.12882
294,1779184364812623951,1779184364812741680,0.117729
295,1779184364822630819,1779184364822764819,0.134
296,1779184364832631705,1779184364832749644,0.117939
297,1779184364842622261,1779184364842752054,0.129793
298,1779184364852624320,1779184364852742680,0.11836
299,1779184364862633222,1779184364862795026,0.161804
300,1779184364872628908,1779184364872773790,0.144882
301,1779184364882629924,1779184364882770378,0.140454
302,1779184364892627404,1779184364892765472,0.138068
303,1779184364902631346,1779184364902766780,0.135434
304,1779184364912627123,1779184364912745092,0.117969
305,1779184364922634562,1779184364922774083,0.139521
306,1779184364932624937,1779184364932738869,0.113932
307,1779184364942628699,1779184364942756207,0.127508
308,1779184364952621560,1779184364952738738,0.117178
309,1779184364962623749,1779184364962737250,0.113501
310,1779184364972621910,1779184364972738898,0.116988
311,1779184364982628177,1779184364982760444,0.132267
312,1779184364992627099,1779184364992748976,0.121877
313,1779184365002621824,1779184365002747578,0.125754
314,1779184365012625526,1779184365012741171,0.115645
315,1779184365022636002,1779184365022772427,0.136425
316,1779184365032646999,1779184365032777733,0.130734
317,1779184365042629329,1779184365042749453,0.120124
318,1779184365052624595,1779184365052741002,0.116407
319,1779184365062630783,1779184365062759824,0.129041
320,1779184365072626800,1779184365072749168,0.122368
321,1779184365082627667,1779184365082747901,0.120234
322,1779184365092624416,1779184365092737526,0.11311
323,1779184365102633629,1779184365102763081,0.129452
324,1779184365112625308,1779184365112749099,0.123791
325,1779184365122634892,1779184365122766057,0.131165
326,1779184365132625769,1779184365132748348,0.122579
327,1779184365142632067,1779184365142761649,0.129582
328,1779184365152633976,1779184365152763477,0.129501
329,1779184365162630284,1779184365162755267,0.124983
330,1779184365172626742,1779184365172745533,0.118791
331,1779184365182663529,1779184365182793482,0.129953
332,1779184365192624809,1779184365192767446,0.142637
333,1779184365202624123,1779184365202739507,0.115384
334,1779184365212628386,1779184365212744312,0.115926
335,1779184365222632018,1779184365222762833,0.130815
336,1779184365232624118,1779184365232743540,0.119422
337,1779184365242625697,1779184365242740150,0.114453
338,1779184365252626965,1779184365252746186,0.119221
339,1779184365262635326,1779184365262764547,0.129221
340,1779184365272641032,1779184365272845029,0.203997
