message_id,sent_time_ns,receive_time_ns,latency_ms
0,1779191694586680112,1779191694586938262,0.25815
1,1779191694596666617,1779191694604973391,8.306774
2,1779191694606664505,1779191694606774554,0.110049
3,1779191694616664045,1779191694616776860,0.112815
4,1779191694626663055,1779191694626788132,0.125077
5,1779191694636663848,1779191694636783565,0.119717
6,1779191694646663458,1779191694646782965,0.119507
7,1779191694656663099,1779191694656781394,0.118295
8,1779191694666662339,1779191694666783920,0.121581
9,1779191694676662911,1779191694676781416,0.118505
10,1779191694686662261,1779191694686780506,0.118245
11,1779191694696663405,1779191694696786809,0.123404
12,1779191694706663306,1779191694706791509,0.128203
13,1779191694716664520,1779191694716787463,0.122943
14,1779191694726663028,1779191694726775031,0.112003
15,1779191694736662368,1779191694736775824,0.113456
16,1779191694746664183,1779191694746780634,0.116451
17,1779191694756663092,1779191694756780615,0.117523
18,1779191694766663715,1779191694766778753,0.115038
19,1779191694776662464,1779191694776778714,0.11625
20,1779191694786676261,1779191694786804214,0.127953
21,1779191694796672325,1779191694796796571,0.124246
22,1779191694806663059,1779191694806781063,0.118004
23,1779191694816664563,1779191694816786915,0.122352
24,1779191694826666808,1779191694826791455,0.124647
25,1779191694836668533,1779191694836789613,0.12108
26,1779191694846664757,1779191694846786759,0.122002
27,1779191694856668836,1779191694856790227,0.121391
28,1779191694866664950,1779191694866782714,0.117764
29,1779191694876663148,1779191694876772656,0.109508
30,1779191694886663450,1779191694886779190,0.11574
31,1779191694896663672,1779191694896773080,0.109408
32,1779191694906663363,1779191694906781818,0.118455
33,1779191694916668634,1779191694916793812,0.125178
34,1779191694926665129,1779191694926786229,0.1211
35,1779191694936668106,1779191694936792111,0.124005
36,1779191694946668017,1779191694946792654,0.124637
37,1779191694956662838,1779191694956783468,0.12063
38,1779191694966657980,1779191694966774392,0.116412
39,1779191694976655838,1779191694976771858,0.11602
40,1779191694986664936,1779191694986794002,0.129066
41,1779191694996668084,1779191694996795917,0.127833
42,1779191695006663997,1779191695006787021,0.123024
43,1779191695016672074,1779191695016792643,0.120569
44,1779191695026663759,1779191695026793696,0.129937
45,1779191695036667758,1779191695036794028,0.12627
46,1779191695046664293,1779191695046789922,0.125629
47,1779191695056662441,1779191695056781818,0.119377
48,1779191695066664486,1779191695066793271,0.128785
49,1779191695076662754,1779191695076787181,0.124427
50,1779191695086662645,1779191695086783275,0.12063
51,1779191695096664160,1779191695096784609,0.120449
52,1779191695106665223,1779191695106785862,0.120639
53,1779191695116665595,1779191695116782116,0.116521
54,1779191695126664224,1779191695126790363,0.126139
55,1779191695136662702,1779191695136785235,0.122533
56,1779191695146666120,1779191695146790577,0.124457
57,1779191695156664589,1779191695156789957,0.125368
58,1779191695166665542,1779191695166785189,0.119647
59,1779191695176670302,1779191695176789078,0.118776
60,1779191695186665294,1779191695186793979,0.128685
61,1779191695196663843,1779191695196787297,0.123454
62,1779191695206664545,1779191695206783251,0.118706
63,1779191695216660699,1779191695216781268,0.120569
64,1779191695226661001,1779191695226783344,0.122343
65,1779191695236659750,1779191695236780680,0.12093
66,1779191695246665923,1779191695246784649,0.118726
67,1779191695256665554,1779191695256790030,0.124476
68,1779191695266664012,1779191695266790212,0.1262
69,1779191695276664966,1779191695276791256,0.12629
70,1779191695286663504,1779191695286786979,0.123475
71,1779191695296662544,1779191695296781480,0.118936
72,1779191695306684416,1779191695306809013,0.124597
73,1779191695316663618,1779191695316785009,0.121391
74,1779191695326666906,1779191695326785501,0.118595
75,1779191695336669703,1779191695336788969,0.119266
76,1779191695346666207,1779191695346783951,0.117744
77,1779191695356665417,1779191695356781969,0.116552
78,1779191695366663695,1779191695366779936,0.116241
79,1779191695376665210,1779191695376781030,0.11582
80,1779191695386669108,1779191695386796480,0.127372
81,1779191695396671093,1779191695396795910,0.124817
82,1779191695406665704,1779191695406785512,0.119808
83,1779191695416664363,1779191695416784341,0.119978
84,1779191695426668132,1779191695426791316,0.123184
85,1779191695436665989,1779191695436789564,0.123575
86,1779191695446665289,1779191695446785227,0.119938
87,1779191695456664158,1779191695456784186,0.120028
88,1779191695466661946,1779191695466780621,0.118675
89,1779191695476664963,1779191695476784640,0.119677
90,1779191695486666657,1779191695486789651,0.122994
91,1779191695496664294,1779191695496786787,0.122493
92,1779191695506664285,1779191695506788571,0.124286
93,1779191695516665790,1779191695516789835,0.124045
94,1779191695526663937,1779191695526785819,0.121882
95,1779191695536663087,1779191695536787333,0.124246
96,1779191695546666836,1779191695546790971,0.124135
97,1779191695556665344,1779191695556788198,0.122854
98,1779191695566664394,1779191695566786926,0.122532
99,1779191695576669915,1779191695576791947,0.122032
100,1779191695586669887,1779191695586797159,0.127272
101,1779191695596665309,1779191695596789465,0.124156
102,1779191695606665591,1779191695606788805,0.123214
