message_id,sent_time_ns,receive_time_ns,latency_ms
0,1779185890561317240,1779185890561550988,0.233748
1,1779185890571340211,1779185890575112367,3.772156
2,1779185890581304042,1779185890581438805,0.134763
3,1779185890591304401,1779185890591433453,0.129052
4,1779185890601306173,1779185890601441517,0.135344
5,1779185890611298196,1779185890611422008,0.123812
6,1779185890621317060,1779185890621452173,0.135113
7,1779185890631309414,1779185890631434809,0.125395
8,1779185890641303762,1779185890641433726,0.129964
9,1779185890651299372,1779185890651423495,0.124123
10,1779185890661300773,1779185890661429334,0.128561
11,1779185890671304068,1779185890671432799,0.128731
12,1779185890681303736,1779185890681436174,0.132438
13,1779185890691302502,1779185890691425473,0.122971
14,1779185890701301939,1779185890701435820,0.133881
15,1779185890711291809,1779185890711421532,0.129723
16,1779185890721295935,1779185890721420699,0.124764
17,1779185890731298779,1779185890731422882,0.124103
18,1779185890741293066,1779185890741421768,0.128702
19,1779185890751295770,1779185890751412759,0.116989
20,1779185890761343428,1779185890761456420,0.112992
21,1779185890771295727,1779185890771414209,0.118482
22,1779185890781303560,1779185890781433243,0.129683
23,1779185890791295413,1779185890791417212,0.121799
24,1779185890801300431,1779185890801437258,0.136827
25,1779185890811293827,1779185890811406959,0.113132
26,1779185890821301540,1779185890821435511,0.133971
27,1779185890831295667,1779185890831417246,0.121579
28,1779185890841298912,1779185890841403398,0.104486
29,1779185890851296756,1779185890851432741,0.135985
30,1779185890861295763,1779185890861431748,0.135985
31,1779185890871298256,1779185890871425825,0.127569
32,1779185890881326327,1779185890881454858,0.128531
33,1779185890891301679,1779185890891407037,0.105358
34,1779185890901307759,1779185890901431201,0.123442
35,1779185890911301035,1779185890911402305,0.10127
36,1779185890921297557,1779185890921397324,0.099767
37,1779185890931298788,1779185890931422851,0.124063
38,1779185890941304307,1779185890941416066,0.111759
39,1779185890951282434,1779185890951433618,0.151184
40,1779185890961299495,1779185890961435199,0.135704
41,1779185890971292871,1779185890971440828,0.147957
42,1779185890981301475,1779185890981435316,0.133841
43,1779185890991306032,1779185890991440504,0.134472
44,1779185891001296373,1779185891001433670,0.137297
45,1779185891011298937,1779185891011436385,0.137448
46,1779185891021303565,1779185891021455280,0.151715
47,1779185891031315827,1779185891031458435,0.142608
48,1779185891041300588,1779185891041419842,0.119254
49,1779185891051294797,1779185891051426494,0.131697
50,1779185891061299816,1779185891061422335,0.122519
51,1779185891071296268,1779185891071423447,0.127179
52,1779185891081308661,1779185891081437613,0.128952
53,1779185891091299954,1779185891091415681,0.115727
54,1779185891101304993,1779185891101435528,0.130535
55,1779185891111296657,1779185891111433423,0.136766
56,1779185891121292789,1779185891121419166,0.126377
57,1779185891131300433,1779185891131424906,0.124473
58,1779185891141302616,1779185891141437239,0.134623
59,1779185891151303167,1779185891151425005,0.121838
60,1779185891161296914,1779185891161411139,0.114225
61,1779185891171295832,1779185891171431366,0.135534
62,1779185891181298306,1779185891181418972,0.120666
63,1779185891191307843,1779185891191425484,0.117641
64,1779185891201310748,1779185891201447324,0.136576
65,1779185891211300598,1779185891211419111,0.118513
66,1779185891221315646,1779185891221453204,0.137558
67,1779185891231326416,1779185891231466959,0.140543
68,1779185891241290407,1779185891241404351,0.113944
69,1779185891251298191,1779185891251426151,0.12796
70,1779185891261302008,1779185891261428856,0.126848
71,1779185891271305744,1779185891271444966,0.139222
72,1779185891281290465,1779185891281431009,0.140544
73,1779185891291299912,1779185891291441919,0.142007
74,1779185891301303508,1779185891301452728,0.14922
75,1779185891311306994,1779185891311457477,0.150483
76,1779185891321296074,1779185891321442959,0.146885
77,1779185891331297776,1779185891331442988,0.145212
78,1779185891341316009,1779185891341475118,0.159109
79,1779185891351310859,1779185891351462664,0.151805
80,1779185891361302844,1779185891361454518,0.151674
81,1779185891371299897,1779185891371442786,0.142889
82,1779185891381291892,1779185891381422186,0.130294
83,1779185891391298353,1779185891391412558,0.114205
84,1779185891401302501,1779185891401422596,0.120095
85,1779185891411301478,1779185891411420732,0.119254
86,1779185891421312158,1779185891421435730,0.123572
87,1779185891431297429,1779185891431438594,0.141165
88,1779185891441295074,1779185891441428374,0.1333
89,1779185891451297919,1779185891451417614,0.119695
90,1779185891461303028,1779185891461426640,0.123612
91,1779185891471306384,1779185891471427732,0.121348
92,1779185891481297296,1779185891481414165,0.116869
93,1779185891491294009,1779185891491395590,0.101581
94,1779185891501301984,1779185891501420566,0.118582
95,1779185891511293968,1779185891511417720,0.123752
96,1779185891521297324,1779185891521414423,0.117099
97,1779185891531307071,1779185891531427638,0.120567
98,1779185891541304236,1779185891541445461,0.141225
99,1779185891551303594,1779185891551427947,0.124353
100,1779185891561306368,1779185891561427185,0.120817
101,1779185891571311037,1779185891571450348,0.139311
102,1779185891581300446,1779185891581416855,0.116409
103,1779185891591329891,1779185891591471406,0.141515
104,1779185891601336242,1779185891601460876,0.124634
105,1779185891611300885,1779185891611419718,0.118833
106,1779185891621317165,1779185891621450616,0.133451
107,1779185891631308158,1779185891631431920,0.123762
108,1779185891641317284,1779185891641440626,0.123342
109,1779185891651289491,1779185891651407373,0.117882
110,1779185891661306182,1779185891661429243,0.123061
111,1779185891671302896,1779185891671423372,0.120476
112,1779185891681301803,1779185891681421938,0.120135
113,1779185891691296372,1779185891691415846,0.119474
114,1779185891701309125,1779185891701439760,0.130635
115,1779185891711326207,1779185891711448506,0.122299
116,1779185891721298735,1779185891721447945,0.14921
117,1779185891731305136,1779185891731436272,0.131136
118,1779185891741301910,1779185891741456851,0.154941
119,1779185891751334460,1779185891751475405,0.140945
120,1779185891761303031,1779185891761443193,0.140162
