message_id,sent_time_ns,receive_time_ns,latency_ms
0,1779188692709487223,1779188692709776589,0.289366
1,1779188692719471743,1779188692724074905,4.603162
2,1779188692729463056,1779188692729624862,0.161806
3,1779188692739463567,1779188692739627847,0.16428
4,1779188692749450672,1779188692749589464,0.138792
5,1779188692759460681,1779188692759621093,0.160412
6,1779188692769460700,1779188692769698839,0.238139
7,1779188692779465138,1779188692779597548,0.13241
8,1779188692789460399,1779188692789594471,0.134072
9,1779188692799459256,1779188692799606724,0.147468
10,1779188692809457322,1779188692809592076,0.134754
11,1779188692819453214,1779188692819602916,0.149702
12,1779188692829458734,1779188692829627752,0.169018
13,1779188692839456429,1779188692839618404,0.161975
14,1779188692849463982,1779188692849627010,0.163028
15,1779188692859461638,1779188692859621880,0.160242
16,1779188692869482516,1779188692869623432,0.140916
17,1779188692879461586,1779188692879620777,0.159191
18,1779188692889460594,1779188692889617059,0.156465
19,1779188692899471134,1779188692899613843,0.142709
20,1779188692909465773,1779188692909598163,0.13239
21,1779188692919456204,1779188692919586149,0.129945
22,1779188692929454200,1779188692929586500,0.1323
23,1779188692939476011,1779188692939613280,0.137269
24,1779188692949460120,1779188692949596297,0.136177
25,1779188692959460751,1779188692959593071,0.13232
26,1779188692969541783,1779188692969700232,0.158449
27,1779188692979459107,1779188692979624168,0.165061
28,1779188692989465929,1779188692989601315,0.135386
29,1779188692999460098,1779188692999612415,0.152317
30,1779188693009458284,1779188693009574944,0.11666
31,1779188693019473252,1779188693019605762,0.13251
32,1779188693029463744,1779188693029594201,0.130457
33,1779188693039457232,1779188693039580004,0.122772
34,1779188693049456931,1779188693049578861,0.12193
35,1779188693059457923,1779188693059576837,0.118914
36,1779188693069461089,1779188693069588269,0.12718
37,1779188693079458113,1779188693079582498,0.124385
38,1779188693089457803,1779188693089582057,0.124254
39,1779188693099458664,1779188693099592527,0.133863
40,1779188693109459816,1779188693109586064,0.126248
41,1779188693119459826,1779188693119578109,0.118283
42,1779188693129458524,1779188693129581175,0.122651
43,1779188693139464725,1779188693139592266,0.127541
44,1779188693149472750,1779188693149597666,0.124916
45,1779188693159459946,1779188693159594890,0.134944
46,1779188693169447372,1779188693169589600,0.142228
47,1779188693179446330,1779188693179578730,0.1324
48,1779188693189463091,1779188693189596543,0.133452
49,1779188693199460066,1779188693199626399,0.166333
50,1779188693209459505,1779188693209592996,0.133491
51,1779188693219464935,1779188693219627632,0.162697
52,1779188693229464874,1779188693229630677,0.165803
53,1779188693239463462,1779188693239626479,0.163017
54,1779188693249463682,1779188693249629405,0.165723
55,1779188693259462870,1779188693259622702,0.159832
56,1779188693269461518,1779188693269599849,0.138331
57,1779188693279461638,1779188693279616460,0.154822
58,1779188693289459964,1779188693289595190,0.135226
59,1779188693299461798,1779188693299631889,0.170091
60,1779188693309460095,1779188693309594668,0.134573
61,1779188693319458151,1779188693319585982,0.127831
62,1779188693329458241,1779188693329589388,0.131147
63,1779188693339461337,1779188693339601541,0.140204
64,1779188693349458000,1779188693349591392,0.133392
65,1779188693359457609,1779188693359590921,0.133312
66,1779188693369463240,1779188693369602503,0.139263
67,1779188693379457379,1779188693379587795,0.130416
68,1779188693389457138,1779188693389589598,0.13246
69,1779188693399478538,1779188693399616769,0.138231
70,1779188693409459182,1779188693409587574,0.128392
71,1779188693419460444,1779188693419595599,0.135155
72,1779188693429460274,1779188693429591110,0.130836
73,1779188693439458139,1779188693439579619,0.12148
74,1779188693449458630,1779188693449577645,0.119015
75,1779188693459460554,1779188693459580220,0.119666
76,1779188693469460133,1779188693469590709,0.130576
77,1779188693479457648,1779188693479606569,0.148921
78,1779188693489459812,1779188693489622579,0.162767
79,1779188693499461205,1779188693499622980,0.161775
80,1779188693509462096,1779188693509623250,0.161154
81,1779188693519460814,1779188693519620375,0.159561
82,1779188693529461275,1779188693529621687,0.160412
83,1779188693539465302,1779188693539637046,0.171744
84,1779188693549462527,1779188693549623410,0.160883
85,1779188693559462436,1779188693559624702,0.162266
86,1779188693569461414,1779188693569623069,0.161655
87,1779188693579461064,1779188693579622007,0.160943
88,1779188693589462326,1779188693589622177,0.159851
89,1779188693599478646,1779188693599655139,0.176493
90,1779188693609463307,1779188693609596479,0.133172
91,1779188693619477855,1779188693619641223,0.163368
92,1779188693629463598,1779188693629598552,0.134954
93,1779188693639457897,1779188693639589014,0.131117
94,1779188693649455041,1779188693649583474,0.128433
95,1779188693659452767,1779188693659580889,0.128122
96,1779188693669450392,1779188693669589154,0.138762
97,1779188693679464359,1779188693679596859,0.1325
98,1779188693689467394,1779188693689604964,0.13757
99,1779188693699463056,1779188693699603471,0.140415
100,1779188693709460641,1779188693709594664,0.134023
101,1779188693719461834,1779188693719595395,0.133561
102,1779188693729460120,1779188693729585978,0.125858
103,1779188693739485748,1779188693739624991,0.139243
104,1779188693749462284,1779188693749594954,0.13267
105,1779188693759448919,1779188693759592279,0.14336
106,1779188693769468736,1779188693769591097,0.122361
107,1779188693779462284,1779188693779596617,0.134333
108,1779188693789461963,1779188693789597058,0.135095
109,1779188693799461442,1779188693799594142,0.1327
110,1779188693809459699,1779188693809591948,0.132249
111,1779188693819462013,1779188693819600945,0.138932
112,1779188693829459057,1779188693829590144,0.131087
113,1779188693839463255,1779188693839594392,0.131137
